group	path	remote	branch	commit
desktop	desktop/bongo-cat-next	https://github.com/liwenka1/bongo-cat-next.git	main	9a597b34d8eb2d9110cb7b4868d67d8f4e025138
desktop	desktop/clawd-on-desk	https://github.com/rullerzhou-afk/clawd-on-desk.git	main	e228f2297a8d175eaecaf835e28b9ba4643238e7
desktop	desktop/dororo	https://github.com/MelanTech/Dororo.git	master	c2050bdc03d8504837f2f4062f38936507b06ea9
desktop	desktop/esheep-desktop-pet	https://github.com/Adrianotiger/desktopPet.git	master	132c4e8e1265190afef4873f79bda4d7e13cfb91
desktop	desktop/openpets	https://github.com/alvinunreal/openpets.git	main	806659a46ef5b6833a3fbf69d21801af736acbff
motion	motion/camdm	https://github.com/AIGAnimation/CAMDM.git	main	f34e23a01c931c3c6f4686de1a0f086b7c11959a
motion	motion/dart	https://github.com/zkf1997/DART.git	main	bb67ae1ed6ce051080468bf15bc6e54a6c3f8417
motion	motion/diffusion-forcing	https://github.com/buoyancy99/diffusion-forcing.git	main	475e0bcab87545e48b24b39fb46a81fe59d80594
motion	motion/diffusion-policy	https://github.com/real-stanford/diffusion_policy.git	main	5ba07ac6661db573af695b419a7947ecb704690f
motion	motion/motionlcm	https://github.com/Dai-Wenxun/MotionLCM.git	main	33dc6199d90ff11071a92828d222d8a0024b78fb
pixel	pixel/diamond	https://github.com/eloialonso/diamond.git	main	5bcd1599755b4f2fae8e5e079e02f0728e174965
pixel	pixel/iris	https://github.com/eloialonso/iris.git	main	24326aaaa283c527f42b89b44cfdecf2665a7a16
pixel	pixel/layerdiffuse	https://github.com/lllyasviel/LayerDiffuse.git	main	a7221c06a7016646e04661f394927f5b46171748
pixel	pixel/live2diff	https://github.com/open-mmlab/Live2Diff.git	main	e40aa03a9a9d17f1232fd7a4566b3ee793e6893f
pixel	pixel/maskgit-pytorch	https://github.com/valeoai/MaskGIT-pytorch.git	main	f61b0a1314717004dc7487531fd16a8bb71e1888
pixel	pixel/pixel-vqvae-fusion-dance	https://github.com/akashsara/fusion-dance.git	main	ef2cee392df7d2802a99e68fb9b9df10f37b5979
pixel	pixel/sprite-sheet-diffusion	https://github.com/chenganhsieh/Sprite-Sheet-Diffusion.git	main	382c2e7a3ae8d6e012963ec19c43415159e439c7
pixel	pixel/streamdiffusion	https://github.com/cumulo-autumn/StreamDiffusion.git	main	b623251dc055e1fd858d53509aa43e09dfc5cdc0
pixel	pixel/taesd	https://github.com/madebyollin/taesd.git	main	e87efbcfc5298d84986b5d9280f40d358b6a228d
